"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
750,"EDUC","Educational Development Corp.","Services","Publishing - Books","USA",11.99,27.45,3.01,-0.33%,151
751,"EEFT","Euronet Worldwide Inc.","Services","Business Services","USA",2426.55,38.75,48.55,0.23%,54452
752,"EEI","Ecology & Environment, Inc.","Industrial Goods","Waste Management","USA",45.95,60.06,10.87,0.56%,160
753,"EFII","Electronics for Imaging, Inc.","Technology","Computer Peripherals","USA",1801.26,20.37,38.39,-0.29%,57212
754,"EFOI","Energy Focus, Inc.","Industrial Goods","Industrial Electrical Equipment","USA",12.43,,0.50,0.00%,0
755,"EFSC","Enterprise Financial Services Corp.","Financial","Regional - Southwest  Banks","USA",363.19,10.87,19.57,1.19%,14772
756,"EFUT","e-Future Information Technology Inc.","Technology","Application Software","China",17.36,,4.08,0.00%,0
757,"EGAN","eGain Communications Corp.","Technology","Business Software & Services","USA",254.80,202.40,10.06,-0.59%,13620
758,"EGBN","Eagle Bancorp, Inc.","Financial","Regional - Mid-Atlantic Banks","USA",776.61,16.83,30.06,-0.20%,16041
759,"EGHT","8x8 Inc.","Technology","Communication Equipment","USA",682.27,93.50,9.55,2.14%,335053
760,"EGLE","Eagle Bulk Shipping, Inc.","Services","Shipping","USA",52.15,,3.08,0.33%,121324
761,"EGOV","NIC Inc.","Technology","Application Software","USA",1475.91,43.69,23.05,1.45%,30151
762,"EGT","Entertainment Gaming Asia Inc.","Consumer Goods","Recreational Goods, Other","Hong Kong",36.33,,1.22,0.83%,59507
763,"EHTH","eHealth, Inc.","Financial","Insurance Brokers","USA",791.83,148.10,43.03,0.18%,41934
764,"EIGI","Endurance International Group Holdings, Inc.","Technology","Application Software","USA",1349.91,,14.00,0.57%,74125
765,"EIHI","Eastern Insurance Holdings, Inc.","Financial","Accident & Health Insurance","USA",185.88,14.33,24.51,0.04%,6726
766,"ELGX","Endologix Inc.","Healthcare","Medical Instruments & Supplies","USA",1011.83,,16.33,1.24%,94842
767,"ELNK","EarthLink Inc.","Technology","Telecom Services - Domestic","USA",525.21,,5.11,-0.29%,81582
768,"ELON","Echelon Corporation","Technology","Networking & Communication Devices","USA",88.96,,2.05,-0.49%,2376
769,"ELOS","Syneron Medical Ltd.","Healthcare","Medical Appliances & Equipment","Israel",407.24,,11.41,0.26%,64709
770,"ELRC","Electro Rent Corp.","Services","Rental & Leasing Services","USA",450.60,19.32,18.43,-0.65%,5060
771,"ELSE","Electro-Sensors Inc.","Technology","Scientific & Technical Instruments","USA",13.44,11.31,3.97,0.26%,401
772,"ELTK","Eltek Ltd.","Technology","Printed Circuit Boards","Israel",14.54,55.00,2.19,-0.45%,23317
773,"EMCF","Emclaire Financial Corp.","Financial","Regional - Northeast Banks","USA",44.96,14.66,25.50,0.00%,0
774,"EMCI","EMC Insurance Group Inc.","Financial","Property & Casualty Insurance","USA",395.64,9.63,30.49,1.19%,1436
775,"EMFN","iShares MSCI Emerg Mrkts Financials Idx","Financial","Exchange Traded Fund","USA",,,24.26,0.00%,0
776,"EMIF","iShares S&P Emerging Mkts Infrastructure","Financial","Exchange Traded Fund","USA",,,33.52,0.12%,115
777,"EMIS","Emisphere Technologies, Inc.","Healthcare","Drug Delivery","USA",5.01,,0.19,15.15%,626
778,"EMITF","Elbit Imaging Ltd.","Financial","Property Management","Israel",18.17,,0.70,-3.68%,4300
779,"EMKR","EMCORE Corporation","Technology","Semiconductor - Integrated Circuits","USA",137.69,26.68,5.05,-0.39%,63975
780,"EML","Eastern Co.","Industrial Goods","Small Tools & Accessories","USA",98.31,14.63,16.02,1.37%,3221
781,"EMMS","Emmis Communications Corp.","Services","Broadcasting - Radio","USA",102.38,247.00,2.51,1.62%,6273
782,"EMMT","iShares MSCI Emerg Mrkts Materials Idx","Financial","Exchange Traded Fund","USA",,,16.52,-0.96%,1000
783,"ENDP","Endo Pharmaceuticals Holdings Inc.","Healthcare","Drug Manufacturers - Other","USA",7401.53,,65.44,1.08%,575131
784,"ENG","ENGlobal Corp.","Services","Technical Services","USA",40.29,,1.47,-1.34%,6407
785,"ENMD","EntreMed Inc.","Healthcare","Biotechnology","USA",41.89,,1.55,0.00%,0
786,"ENOC","EnerNOC, Inc.","Services","Business Services","USA",475.20,43.64,16.99,-0.18%,209809
787,"ENPH","Enphase Energy, Inc.","Technology","Semiconductor Equipment & Materials","USA",241.05,,5.81,0.69%,55303
788,"ENSG","The Ensign Group, Inc.","Healthcare","Long-Term Care Facilities","USA",966.72,69.94,44.45,0.89%,15387
789,"ENT","Global Eagle Entertainment Inc.","Conglomerates","Conglomerates","USA",786.18,,14.33,0.49%,144873
790,"ENTA","Enanta Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",634.57,,30.13,-15.39%,542707
791,"ENTG","Entegris, Inc.","Technology","Semiconductor Equipment & Materials","USA",1507.11,23.09,10.85,0.00%,54872
792,"ENTR","Entropic Communications, Inc.","Technology","Semiconductor - Broad Line","USA",419.83,,4.64,0.65%,77129
793,"ENVI","Envivio, Inc.","Technology","Communication Equipment","USA",77.01,,2.84,0.00%,23401
794,"ENZN","Enzon Pharmaceuticals Inc.","Healthcare","Biotechnology","USA",66.76,9.50,1.55,1.97%,99144
795,"ENZY","Enzymotec Ltd.","Healthcare","Biotechnology","Israel",86.08,63.53,27.61,-3.43%,53140
796,"EONC","eOn Communications Corp.","Technology","Telecom Services - Domestic","USA",3.57,13.78,2.51,102.42%,1682343
797,"EOPN","E2open, Inc.","Technology","Application Software","USA",573.44,,22.52,2.18%,14853
798,"EPAX","Ambassadors Group Inc.","Services","Education & Training Services","USA",87.13,,4.95,-3.52%,12052
799,"EPAY","Bottomline Technologies Inc.","Technology","Business Software & Services","USA",1208.10,,33.49,0.39%,15021
800,"EPIQ","EPIQ Systems, Inc.","Technology","Information Technology Services","USA",547.39,37.41,15.22,-0.78%,15050
801,"EPZM","Epizyme, Inc.","Healthcare","Biotechnology","USA",594.25,,21.00,0.38%,32334
802,"EQIX","Equinix, Inc.","Technology","Internet Software & Services","USA",9056.26,106.30,169.93,0.54%,118997
803,"ERIC","LM Ericsson Telephone Co.","Technology","Communication Equipment","Sweden",37723.63,,11.68,-0.09%,1520952
804,"ERIE","Erie Indemnity Co.","Financial","Insurance Brokers","USA",3280.66,23.75,71.00,0.98%,3269
805,"ERII","Energy Recovery, Inc.","Industrial Goods","Pollution & Treatment Controls","USA",274.66,,5.39,0.28%,138436
806,"EROC","Eagle Rock Energy Partners, L.P.","Basic Materials","Oil & Gas Refining & Marketing","USA",835.02,,5.46,2.14%,363653
807,"ERS","Empire Resources Inc.","Services","Basic Materials Wholesale","USA",29.71,17.30,3.48,0.58%,6
808,"ESBF","ESB Financial Corp.","Financial","Savings & Loans","USA",240.08,16.03,13.89,0.73%,2696
809,"ESBK","Elmira Savings Bank","Financial","Regional - Northeast Banks","USA",70.22,18.87,25.10,-6.34%,4347
810,"ESCA","Escalade Inc.","Consumer Goods","Sporting Goods","USA",160.48,15.03,11.83,-0.34%,1463
811,"ESEA","Euroseas, Ltd.","Services","Shipping","Greece",53.93,,1.16,-2.52%,21756
812,"ESGR","Enstar Group Limited","Financial","Property & Casualty Insurance","Bermuda",2235.01,15.95,135.70,0.33%,2937
813,"ESIO","Electro Scientific Industries Inc.","Technology","Semiconductor - Integrated Circuits","USA",296.67,,9.84,-0.61%,23551
814,"ESLT","Elbit Systems Ltd.","Industrial Goods","Aerospace/Defense Products & Services","Israel",2467.83,12.53,58.64,0.22%,10644
815,"ESMC","Escalon Medical Corp.","Healthcare","Medical Appliances & Equipment","USA",16.41,,2.16,-0.92%,3097
816,"ESPR","Esperion Therapeutics, Inc.","Healthcare","Biotechnology","USA",4.71,,13.62,0.81%,5079
817,"ESRX","Express Scripts Inc.","Healthcare","Health Care Plans","USA",54194.28,29.08,66.74,-0.22%,800648
818,"ESSA","Essa Bancorp, Inc.","Financial","Savings & Loans","USA",125.97,28.31,11.16,1.08%,1421
819,"ESSX","Essex Rental Corp.","Services","Rental & Leasing Services","USA",68.29,,2.75,-0.72%,45418
820,"ESXB","Community Bankers Trust Corporation","Financial","Diversified Investments","USA",79.98,15.54,3.71,-0.54%,152
821,"ESYS","Elecsys Corporation","Consumer Goods","Electronic Equipment","USA",55.33,26.31,13.43,-5.49%,13574
822,"ETFC","E*TRADE Financial Corporation","Financial","Investment Brokerage - National","USA",5354.62,,18.90,1.34%,1394473
823,"ETRM","EnteroMedics, Inc.","Healthcare","Medical Appliances & Equipment","USA",101.32,,1.78,-1.66%,181308
824,"EUFN","iShares MSCI Europe Financials Index","Financial","Exchange Traded Fund","USA",,,23.67,0.42%,17889
825,"EVAC","Edwards Group Limited","Industrial Goods","Diversified Machinery","United Kingdom",1148.81,14.97,10.18,0.00%,0
826,"EVBS","Eastern Virginia Bankshares Inc.","Financial","Regional - Southeast Banks","USA",79.72,,6.75,-0.30%,429
827,"EVEP","EV Energy Partners LP","Basic Materials","Oil & Gas Drilling & Exploration","USA",1340.59,,31.10,-1.18%,125213
828,"EVOK","Evoke Pharma, Inc.","Healthcare","Drugs - Generic","USA",8.63,,7.60,0.13%,10534
829,"EVOL","Evolving Systems Inc.","Technology","Technical & System Software","USA",110.23,23.54,9.56,-0.93%,15073
830,"EVRY","EveryWare Global, Inc.","Consumer Goods","Packaging & Containers","USA",117.04,49.63,8.10,2.02%,16284
831,"EWBC","East West Bancorp, Inc.","Financial","Regional - Pacific Banks","USA",4660.59,16.67,33.89,-0.35%,103058
832,"EXA","Exa Corporation","Technology","Application Software","USA",180.37,,13.59,0.52%,2511
833,"EXAC","Exactech Inc.","Healthcare","Medical Appliances & Equipment","USA",324.14,22.34,24.55,1.74%,6666
834,"EXAS","Exact Sciences Corporation","Healthcare","Biotechnology","USA",831.89,,11.82,0.28%,49673
835,"EXEL","Exelixis, Inc.","Healthcare","Biotechnology","USA",1042.28,,5.56,-1.77%,506839
836,"EXFO","EXFO Inc","Technology","Communication Equipment","Canada",289.84,241.00,4.80,-0.41%,5433
837,"EXLP","Exterran Partners, L.P.","Basic Materials","Oil & Gas Equipment & Services","USA",1334.04,20.77,26.56,-1.62%,23130
838,"EXLS","Exlservice Holdings, Inc.","Services","Business Services","USA",883.55,20.19,27.01,0.60%,18074
839,"EXPD","Expeditors International of Washington Inc.","Services","Air Delivery & Freight Services","USA",8818.23,25.42,42.62,-0.19%,140807
840,"EXPE","Expedia Inc.","Services","Lodging","USA",9054.27,65.73,66.02,-0.56%,392692
841,"EXPO","Exponent Inc.","Services","Management Services","USA",1019.71,27.57,74.81,-0.24%,11266
842,"EXTR","Extreme Networks Inc.","Technology","Networking & Communication Devices","USA",643.38,,6.88,0.51%,222722
843,"EXXI","Energy XXI (Bermuda) Limited","Basic Materials","Oil & Gas Equipment & Services","Bermuda",1956.69,12.72,26.35,2.05%,260731
844,"EZCH","EZchip Semiconductor Ltd.","Technology","Semiconductor - Integrated Circuits","Israel",708.47,35.75,24.74,0.28%,113855
845,"EZPW","EZCORP, Inc.","Services","Specialty Retail, Other","USA",568.36,9.79,10.67,1.81%,143171
846,"FALC","Falconstor Software Inc.","Technology","Application Software","USA",58.11,,1.25,3.31%,30770
847,"FANG","Diamondback Energy, Inc.","Basic Materials","Independent Oil & Gas","USA",2047.04,,46.59,1.02%,218689
848,"FARM","Farmer Brothers Co.","Consumer Goods","Processed & Packaged Goods","USA",345.12,,21.92,0.37%,2941
849,"FARO","FARO Technologies Inc.","Technology","Scientific & Technical Instruments","USA",956.47,45.49,56.31,0.65%,35994
850,"FAST","Fastenal Company","Industrial Goods","General Building Materials","USA",13981.30,31.19,47.20,0.21%,282501
851,"FATE","Fate Therapeutics, Inc.","Healthcare","Biotechnology","USA",8.48,,7.35,7.46%,6794
852,"FB","Facebook, Inc.","Technology","Internet Information Providers","USA",133309.80,114.29,54.56,-0.55%,24761132
853,"FBIZ","First Business Financial Services, Inc.","Financial","Regional - Midwest Banks","USA",145.00,11.13,38.00,0.40%,419
854,"FBMI","Firstbank Corporation","Financial","Regional - Midwest Banks","USA",146.71,13.06,18.42,0.05%,356
855,"FBMS","First Bancshares Inc.","Financial","Regional - Southeast Banks","USA",59.01,13.44,14.54,-2.55%,300
856,"FBNC","First Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",311.93,,15.88,0.16%,12649
857,"FBNK","First Connecticut Bancorp, Inc.","Financial","Money Center Banks","USA",233.53,43.20,15.10,-0.13%,3350
858,"FBRC","FBR & Co.","Financial","Asset Management","USA",349.55,4.22,28.26,-1.87%,10797
859,"FBSS","Fauquier Bankshares Inc.","Financial","Regional - Southeast Banks","USA",51.65,18.55,13.69,-1.58%,500
860,"FCAP","First Capital Inc.","Financial","Savings & Loans","USA",58.90,13.47,21.15,0.00%,0
861,"FCBC","First Community Bancshares, Inc. (Bluefield)","Financial","Regional - Mid-Atlantic Banks","USA",328.35,13.79,16.46,0.30%,11070
862,"FCCO","First Community Corporation","Financial","Regional - Southwest  Banks","USA",54.91,12.80,10.37,0.00%,0
863,"FCCY","1st Constitution Bancorp","Financial","Regional - Northeast Banks","USA",67.11,12.04,10.79,-3.66%,200
864,"FCEL","FuelCell Energy Inc.","Utilities","Diversified Utilities","USA",270.79,,1.46,3.55%,3530615
865,"FCFS","First Cash Financial Services Inc.","Financial","Credit Services","USA",1774.71,20.88,62.36,1.56%,21714
866,"FCLF","First Clover Leaf Financial Corp.","Financial","Savings & Loans","USA",65.99,15.32,9.04,0.00%,0
867,"FCNCA","First Citizens Bancshares Inc.","Financial","Regional - Mid-Atlantic Banks","USA",2101.94,13.05,219.39,0.40%,1829
868,"FCS","Fairchild Semiconductor International Inc.","Technology","Semiconductor - Integrated Circuits","USA",1659.99,,12.97,-0.54%,216341
869,"FCTY","1st Century Bancshares, Inc.","Financial","Regional - Pacific Banks","USA",60.33,8.43,6.84,-2.29%,8508
870,"FCVA","First Capital Bancorp, Inc.","Financial","Money Center Banks","USA",51.69,19.64,4.25,-1.62%,2300
871,"FCZA","First Citizens Banc Corp.","Financial","Regional - Pacific Banks","USA",48.95,8.58,6.49,2.20%,1704
872,"FDEF","First Defiance Financial Corp.","Financial","Savings & Loans","USA",245.87,11.43,25.09,-0.20%,879
873,"FDML","Federal-Mogul Corp.","Consumer Goods","Auto Parts","USA",2918.85,1006.50,19.54,-2.94%,69407
874,"FDUS","Fidus Investment Corporation","Financial","Asset Management","USA",276.83,14.52,20.32,0.69%,13399
875,"FEFN","iShares MSCI Far East Financials","Financial","Exchange Traded Fund","USA",,,29.09,-2.61%,400
876,"FEIC","FEI Company","Technology","Scientific & Technical Instruments","USA",3705.73,32.16,88.15,-0.69%,98991
877,"FEIM","Frequency Electronics Inc.","Technology","Communication Equipment","USA",93.56,26.24,11.10,0.73%,258
878,"FELE","Franklin Electric Co. Inc.","Industrial Goods","Industrial Electrical Equipment","USA",2060.60,25.32,43.36,0.16%,33002
879,"FES","Forbes Energy Services Ltd.","Basic Materials","Oil & Gas Equipment & Services","USA",79.69,,3.69,-1.07%,1240
880,"FEYE","FireEye, Inc.","Technology","Application Software","USA",721.97,,39.20,0.85%,124816
881,"FFBC","First Financial Bancorp.","Financial","Regional - Midwest Banks","USA",947.25,15.92,16.72,0.97%,67048
882,"FFBH","First Federal Bancshares of Arkansas Inc.","Financial","Savings & Loans","USA",175.71,,8.75,-0.34%,757
883,"FFCO","FedFirst Financial Corp.","Financial","Savings & Loans","USA",47.62,19.87,19.50,0.15%,12267
884,"FFHL","Fuwei Films (Holdings) Co., Ltd.","Consumer Goods","Packaging & Containers","China",14.37,,1.12,1.36%,3900
885,"FFIC","Flushing Financial Corp.","Financial","Savings & Loans","USA",603.55,17.46,20.48,1.14%,15491
886,"FFIN","First Financial Bankshares Inc.","Financial","Regional - Southwest  Banks","USA",2018.27,26.41,63.46,0.52%,9515
887,"FFIV","F5 Networks, Inc.","Technology","Business Software & Services","USA",6601.16,24.00,83.69,-0.66%,233615
888,"FFKT","Farmers Capital Bank Corp.","Financial","Regional - Southeast Banks","USA",151.37,13.68,20.25,0.00%,544
889,"FFKY","First Financial Service Corp.","Financial","Regional - Southeast Banks","USA",23.02,,4.80,0.15%,402
890,"FFNM","First Federal of Northern Michigan Bancorp, Inc.","Financial","Regional - Midwest Banks","USA",14.68,,5.01,-1.57%,580
891,"FFNW","First Financial Northwest, Inc.","Financial","Regional - Pacific Banks","USA",171.09,8.12,10.48,0.00%,3148
892,"FHCO","The Female Health Company","Consumer Goods","Personal Products","USA",223.52,15.74,7.95,1.02%,34449
893,"FIBK","First Interstate Bancsystem Inc.","Financial","Regional - Pacific Banks","USA",1175.09,14.46,26.84,-0.19%,8104
894,"FINL","Finish Line Inc.","Services","Specialty Retail, Other","USA",1251.19,19.47,25.58,-1.18%,293012
895,"FISH","Marlin Midstream Partners, LP","Basic Materials","Oil & Gas Pipelines","USA",288.44,,16.34,0.86%,9150
896,"FISI","Financial Institutions Inc.","Financial","Regional - Mid-Atlantic Banks","USA",311.46,13.02,22.75,0.40%,2622
897,"FISV","Fiserv, Inc.","Services","Business Services","USA",7353.64,12.87,56.70,0.16%,253620
898,"FITB","Fifth Third Bancorp","Financial","Regional - Midwest Banks","USA",17735.69,9.98,20.09,-0.30%,1273755
899,"FIVE","Five Below, Inc.","Services","Specialty Retail, Other","USA",2331.88,89.10,43.27,-0.89%,183926
900,"FIZZ","National Beverage Corp.","Consumer Goods","Beverages - Soft Drinks","USA",938.65,21.10,20.50,1.18%,4797
901,"FLDM","Fluidigm Corporation","Technology","Scientific & Technical Instruments","USA",807.39,,33.85,7.07%,120769
902,"FLEX","Flextronics International Ltd.","Technology","Printed Circuit Boards","Singapore",4568.60,25.79,7.29,-2.54%,2102326
903,"FLIC","First of Long Island Corp.","Financial","Regional - Northeast Banks","USA",374.95,17.75,40.60,-1.43%,4712
904,"FLIR","FLIR Systems, Inc.","Industrial Goods","Aerospace/Defense Products & Services","USA",4074.31,18.53,28.42,-1.04%,167994
905,"FLL","Full House Resorts Inc.","Services","Resorts & Casinos","USA",53.63,,2.90,1.40%,28346
906,"FLML","Flamel Technologies SA","Healthcare","Drug Delivery","France",189.89,,7.46,-0.13%,28765
907,"FLOW","Flow International Corp.","Industrial Goods","Diversified Machinery","USA",195.43,99.75,4.00,0.25%,43699
908,"FLWS","1-800-Flowers.com Inc.","Services","Specialty Retail, Other","USA",327.93,22.35,5.00,-2.72%,60831
909,"FLXS","Flexsteel Industries Inc.","Consumer Goods","Home Furnishings & Fixtures","USA",197.79,14.61,27.60,-0.58%,3691
910,"FMAR","First Mariner Bancorp","Financial","Regional - Mid-Atlantic Banks","USA",7.73,,0.40,-2.44%,30088
911,"FMBI","First Midwest Bancorp Inc.","Financial","Regional - Midwest Banks","USA",1284.30,17.70,17.30,-0.29%,37616
912,"FMER","FirstMerit Corporation","Financial","Regional - Midwest Banks","USA",3576.50,18.06,21.67,0.00%,225302
913,"FMI","Foundation Medicine, Inc.","Healthcare","Medical Laboratories & Research","USA",85.17,,24.37,1.99%,68573
914,"FMNB","Farmers National Banc Corp.","Financial","Regional - Midwest Banks","USA",121.29,15.02,6.41,-0.77%,26119
915,"FNFG","First Niagara Financial Group Inc.","Financial","Savings & Loans","USA",3730.80,15.03,10.64,-0.28%,423346
916,"FNGN","Financial Engines, Inc.","Financial","Asset Management","USA",3304.13,127.25,67.30,1.71%,68585
917,"FNHC","Federated National Holding Company","Financial","Property & Casualty Insurance","USA",112.70,12.59,13.87,-0.72%,7067
918,"FNLC","The First Bancorp, Inc.","Financial","Regional - Northeast Banks","USA",187.03,14.36,17.14,-0.55%,1203
919,"FNRG","ForceField Energy Inc.","Utilities","Diversified Utilities","USA",94.69,,5.95,1.71%,14893
920,"FNSR","Finisar Corp.","Technology","Networking & Communication Devices","USA",2162.51,40.25,22.38,-0.71%,1032920
921,"FOLD","Amicus Therapeutics, Inc.","Healthcare","Biotechnology","USA",99.24,,1.96,-2.00%,151059
922,"FONR","Fonar Corp.","Healthcare","Medical Appliances & Equipment","USA",99.26,12.50,16.35,-1.68%,76431
923,"FORD","Forward Industries Inc.","Services","Electronics Wholesale","USA",12.09,,1.53,2.68%,508
924,"FORM","FormFactor Inc.","Technology","Semiconductor - Broad Line","USA",303.21,,5.74,3.05%,87010
925,"FORR","Forrester Research Inc.","Services","Research Services","USA",752.58,55.84,37.85,1.18%,4228
926,"FORTY","Formula Systems (1985) Ltd.","Technology","Business Software & Services","Israel",341.38,16.34,24.30,-2.80%,150
